0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 60, 0, 0, 0, 0, 126,
0, 0, 60, 60, 60, 60, 60, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 60, 0, 60, 60, 60,
0, 0, 0, 0, 0, 0, 60, 128, 128, 60, 128, 128, 60, 0, 0, 60, 60, 60, 0, 0, 0, 0, 0, 0, 60,
60, 0, 0, 0, 0, 0, 60, 60, 60, 60, 60, 60, 60, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 60,
0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 60, 60, 0, 0, 0, 60, 0, 0, 0, 0, 60,
0, 0, 60, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 60,
0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 60, 0, 0, 60, 0, 60, 128, 60, 0, 0, 0, 0, 0, 0, 60,
0, 0, 0, 0, 60, 128, 60, 0, 0, 60, 60, 60, 60, 60, 60, 60, 129, 60, 60, 0, 0, 0, 0, 0, 60,
0, 0, 0, 0, 0, 60, 60, 60, 0, 0, 0, 0, 0, 0, 0, 60, 60, 60, 0, 0, 0, 0, 0, 0, 60,
0, 0, 60, 0, 0,0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 60, 60, 0, 60,
0, 0, 0, 0, 0, 22, 60, 0, 0, 60, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60,
60, 60, 128, 128, 60, 60, 60, 128, 60, 60, 128, 60, 60, 60, 60, 60, 60, 60, 60, 60, 128, 128, 128, 128, 60
